id,Arabic_vs_Chinese_Chi,Arabic_vs_Chinese_Z,Arabic_vs_Chinese_Fisher,Arabic_vs_English_Chi,Arabic_vs_English_Z,Arabic_vs_English_Fisher,Arabic_vs_Korean_Chi,Arabic_vs_Korean_Z,Arabic_vs_Korean_Fisher,Arabic_vs_Russian_Chi,Arabic_vs_Russian_Z,Arabic_vs_Russian_Fisher,Chinese_vs_English_Chi,Chinese_vs_English_Z,Chinese_vs_English_Fisher,Chinese_vs_Korean_Chi,Chinese_vs_Korean_Z,Chinese_vs_Korean_Fisher,Chinese_vs_Russian_Chi,Chinese_vs_Russian_Z,Chinese_vs_Russian_Fisher,English_vs_Korean_Chi,English_vs_Korean_Z,English_vs_Korean_Fisher,English_vs_Russian_Chi,English_vs_Russian_Z,English_vs_Russian_Fisher,Korean_vs_Russian_Chi,Korean_vs_Russian_Z,Korean_vs_Russian_Fisher
PQ_24_Dipl,0.2472,0.0826 (*),0.2489,0.2472,0.0826 (*),0.2489,1.0000,0.6536,1.0000,0.6161,0.3159,0.6239,1.0000,1.0000,1.0000,0.4789,0.1567,0.4993,1.0000,0.3170,1.0000,0.4789,0.1567,0.4993,1.0000,0.3170,1.0000,1.0000,0.5629,1.0000
PQ_25_Dipl,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.9394,0.8791,0.9394,0.1302,0.1121,0.1302,0.0015 (***),0.0011 (***),0.0015 (***),0.0959 (*),0.0817 (*),0.0958 (*),0.0025 (***),0.0019 (***),0.0024 (***),0.0000 (***),0.0000 (***),0.0000 (***)
PQ_26_Dipl,0.0726 (*),0.0248 (**),0.0616 (*),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.7479,0.6683,0.7481,0.0000 (***),0.0000 (***),0.0000 (***)
PQ_27_Dipl,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0258 (**),0.0108 (**),0.0206 (**),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),1.0000,0.9352,1.0000,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***)
PQ_28_Govt,0.0000 (***),0.0000 (***),0.0000 (***),0.3820,0.3403,0.3820,0.2514,0.2191,0.2513,0.0003 (***),0.0002 (***),0.0003 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.1306,0.1124,0.1305,0.0358 (**),0.0293 (**),0.0357 (**),0.0072 (***),0.0057 (***),0.0072 (***),0.0000 (***),0.0000 (***),0.0000 (***)
PQ_29_Govt,0.0000 (***),0.0000 (***),0.0000 (***),0.0017 (***),0.0013 (***),0.0017 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.3880,0.3423,0.3880,0.2025,0.1721,0.2024,0.0023 (***),0.0017 (***),0.0022 (***),0.0263 (**),0.0209 (**),0.0261 (**),0.0001 (***),0.0000 (***),0.0001 (***),0.0903 (*),0.0729 (*),0.0900 (*)
PQ_30_Govt,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0014 (***),0.0011 (***),0.0014 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0063 (***),0.0049 (***),0.0062 (***),0.0000 (***),0.0000 (***),0.0000 (***)
PQ_31_Govt,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
PQ_32_Govt,0.0017 (***),0.0013 (***),0.0017 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0442 (**),0.0364 (**),0.0441 (**),0.0001 (***),0.0000 (***),0.0001 (***),0.0050 (***),0.0040 (***),0.0050 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.4057,0.3643,0.4057,0.0000 (***),0.0000 (***),0.0000 (***),0.0571 (*),0.0479 (**),0.0571 (*),0.0000 (***),0.0000 (***),0.0000 (***)
PQ_33_Govt,0.7994,0.7347,0.7994,0.0000 (***),0.0000 (***),0.0000 (***),1.0000,1.0000,1.0000,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.7994,0.7347,0.7994,0.0001 (***),0.0001 (***),0.0001 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.1291,0.1110,0.1290,0.0000 (***),0.0000 (***),0.0000 (***)
PQ_34_Govt,0.0000 (***),0.0000 (***),0.0000 (***),0.6325,0.5769,0.6325,0.0000 (***),0.0000 (***),0.0000 (***),0.1704,0.1466,0.1703,0.0000 (***),0.0000 (***),0.0000 (***),0.0001 (***),0.0001 (***),0.0001 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.4161,0.3711,0.4161,0.0000 (***),0.0000 (***),0.0000 (***)
