id,Arabic_vs_Chinese_Chi,Arabic_vs_Chinese_Z,Arabic_vs_Chinese_Fisher,Arabic_vs_English_Chi,Arabic_vs_English_Z,Arabic_vs_English_Fisher,Arabic_vs_Korean_Chi,Arabic_vs_Korean_Z,Arabic_vs_Korean_Fisher,Arabic_vs_Russian_Chi,Arabic_vs_Russian_Z,Arabic_vs_Russian_Fisher,Chinese_vs_English_Chi,Chinese_vs_English_Z,Chinese_vs_English_Fisher,Chinese_vs_Korean_Chi,Chinese_vs_Korean_Z,Chinese_vs_Korean_Fisher,Chinese_vs_Russian_Chi,Chinese_vs_Russian_Z,Chinese_vs_Russian_Fisher,English_vs_Korean_Chi,English_vs_Korean_Z,English_vs_Korean_Fisher,English_vs_Russian_Chi,English_vs_Russian_Z,English_vs_Russian_Fisher,Korean_vs_Russian_Chi,Korean_vs_Russian_Z,Korean_vs_Russian_Fisher
E_01,0.0000 (***),0.0000 (***),0.0000 (***),0.0045 (***),0.0035 (***),0.0044 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.7987,0.7339,0.7988,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0122 (**),0.0097 (***),0.0121 (**),0.0000 (***),0.0000 (***),0.0000 (***)
E_02,0.0097 (***),0.0077 (***),0.0097 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.9353,0.8710,0.9353,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0060 (***),0.0047 (***),0.0060 (***),0.0188 (**),0.0153 (**),0.0187 (**),0.0000 (***),0.0000 (***),0.0000 (***),0.0001 (***),0.0001 (***),0.0001 (***),0.0000 (***),0.0000 (***),0.0000 (***)
E_03,0.0175 (**),0.0142 (**),0.0174 (**),0.5342,0.4844,0.5342,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0930 (*),0.0791 (*),0.0930 (*),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0152 (**),0.0121 (**),0.0151 (**)
E_04,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0347 (**),0.0285 (**),0.0346 (**),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0019 (***),0.0014 (***),0.0019 (***)
E_05,0.0000 (***),0.0000 (***),0.0000 (***),0.0163 (**),0.0131 (**),0.0163 (**),0.0000 (***),0.0000 (***),0.0000 (***),0.1545,0.1329,0.1545,0.0000 (***),0.0000 (***),0.0000 (***),0.0057 (***),0.0045 (***),0.0056 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.3681,0.3261,0.3681,0.0000 (***),0.0000 (***),0.0000 (***)
E_06,0.4468,0.3748,0.4470,0.0428 (**),0.0308 (**),0.0421 (**),0.0000 (***),0.0000 (***),0.0000 (***),0.3001,0.2496,0.3001,0.2530,0.1985,0.2529,0.0000 (***),0.0000 (***),0.0000 (***),0.0560 (*),0.0423 (**),0.0554 (*),0.0000 (***),0.0000 (***),0.0000 (***),0.0016 (***),0.0011 (***),0.0015 (***),0.0000 (***),0.0000 (***),0.0000 (***)
E_07,0.0000 (***),0.0000 (***),0.0000 (***),0.0381 (**),0.0263 (**),0.0371 (**),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.6391,0.5843,0.6391,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0009 (***),0.0006 (***),0.0009 (***),0.0000 (***),0.0000 (***),0.0000 (***)
E_08,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.1412,0.1214,0.1411,0.0338 (**),0.0279 (**),0.0337 (**),0.3222,0.2864,0.3222,0.0003 (***),0.0002 (***),0.0002 (***),0.0113 (**),0.0090 (***),0.0112 (**),0.2896,0.2565,0.2896
E_09,0.1353,0.1159,0.1352,0.1642,0.1408,0.1641,0.0012 (***),0.0009 (***),0.0012 (***),0.0103 (**),0.0082 (***),0.0102 (**),0.0031 (***),0.0024 (***),0.0031 (***),0.0925 (*),0.0786 (*),0.0924 (*),0.3180,0.2822,0.3180,0.0000 (***),0.0000 (***),0.0000 (***),0.0001 (***),0.0000 (***),0.0001 (***),0.5428,0.4936,0.5429
E_10,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
E_Age_41,0.6997,0.6434,0.6997,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.1562,0.1245,0.1559,0.0978 (*),0.0786 (*),0.0975 (*),0.0016 (***),0.0011 (***),0.0015 (***)
E_Age_42,0.0007 (***),0.0005 (***),0.0006 (***),0.0001 (***),0.0001 (***),0.0001 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.6384,0.5728,0.6385,0.0000 (***),0.0000 (***),0.0000 (***),0.0007 (***),0.0005 (***),0.0007 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0047 (***),0.0034 (***),0.0046 (***),0.0000 (***),0.0000 (***),0.0000 (***)
E_Age_43,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0089 (***),0.0065 (***),0.0087 (***),0.1299,0.1062,0.1297,0.3140,0.2633,0.3140
E_Age_44,0.0631 (*),0.0515 (*),0.0629 (*),0.0257 (**),0.0203 (**),0.0255 (**),0.0182 (**),0.0146 (**),0.0181 (**),0.0000 (***),0.0000 (***),0.0000 (***),0.7780,0.7069,0.7780,0.0000 (***),0.0000 (***),0.0000 (***),0.0089 (***),0.0066 (***),0.0087 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0248 (**),0.0190 (**),0.0245 (**),0.0000 (***),0.0000 (***),0.0000 (***)
E_Age_45,0.0567 (*),0.0449 (**),0.0564 (*),0.1833,0.1518,0.1831,0.0048 (***),0.0035 (***),0.0047 (***),0.4639,0.4025,0.4640,0.6310,0.5643,0.6311,0.4071,0.3570,0.4071,0.2821,0.2407,0.2821,0.1607,0.1346,0.1606,0.6184,0.5500,0.6185,0.0460 (**),0.0366 (**),0.0458 (**)
E_Doom_54,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0002 (***),0.0001 (***),0.0001 (***),0.0011 (***),0.0006 (***),0.0009 (***),0.1325,0.0449 (**),0.1239,0.7501,0.5241,0.7521,0.3824,0.2441,0.3835,0.0404 (**),0.0139 (**),0.0306 (**),0.0128 (**),0.0044 (***),0.0075 (***),0.7872,0.5892,0.7884
E_Doom_55,1.0000,0.3170,1.0000,1.0000,1.0000,1.0000,0.0000 (***),0.0000 (***),0.0000 (***),0.0003 (***),0.0001 (***),0.0001 (***),1.0000,0.3170,1.0000,0.0000 (***),0.0000 (***),0.0000 (***),0.0010 (***),0.0004 (***),0.0005 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0003 (***),0.0001 (***),0.0001 (***),0.2429,0.1820,0.2426
E_Doom_56,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.3170,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.3170,1.0000,1.0000,1.0000,1.0000,1.0000,0.3170,1.0000,1.0000,0.3170,1.0000
E_Doom_57,0.0014 (***),0.0005 (***),0.0004 (***),1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0024 (***),0.0008 (***),0.0009 (***),0.0014 (***),0.0005 (***),0.0004 (***),0.0014 (***),0.0005 (***),0.0004 (***),1.0000,0.8321,1.0000,1.0000,1.0000,1.0000,0.0024 (***),0.0008 (***),0.0009 (***),0.0024 (***),0.0008 (***),0.0009 (***)
E_Doom_58,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
E_Doom_59,1.0000,0.3170,1.0000,1.0000,1.0000,1.0000,0.0726 (*),0.0248 (**),0.0616 (*),1.0000,1.0000,1.0000,1.0000,0.3170,1.0000,0.2187,0.1010,0.2167,1.0000,0.3170,1.0000,0.0726 (*),0.0248 (**),0.0616 (*),1.0000,1.0000,1.0000,0.0726 (*),0.0248 (**),0.0616 (*)
E_Env_11,0.0000 (***),0.0000 (***),0.0000 (***),0.9384,0.8772,0.9384,0.0039 (***),0.0031 (***),0.0039 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0024 (***),0.0019 (***),0.0024 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.1496,0.1293,0.1496
E_Env_12,0.0798 (*),0.0665 (*),0.0797 (*),0.0230 (**),0.0184 (**),0.0229 (**),0.1318,0.1127,0.1317,0.0000 (***),0.0000 (***),0.0000 (***),0.6619,0.5998,0.6620,0.0009 (***),0.0006 (***),0.0008 (***),0.0005 (***),0.0004 (***),0.0005 (***),0.0001 (***),0.0001 (***),0.0001 (***),0.0031 (***),0.0022 (***),0.0030 (***),0.0000 (***),0.0000 (***),0.0000 (***)
E_Env_13,0.0000 (***),0.0000 (***),0.0000 (***),0.0147 (**),0.0119 (**),0.0147 (**),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0691 (*),0.0579 (*),0.0690 (*),0.0000 (***),0.0000 (***),0.0000 (***)
E_Env_14,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.3559,0.3139,0.3560,0.0005 (***),0.0004 (***),0.0005 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.2546,0.2243,0.2546,0.0000 (***),0.0000 (***),0.0000 (***)
E_Env_15,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
E_Env_16,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0811 (*),0.0687 (*),0.0810 (*),0.0003 (***),0.0002 (***),0.0003 (***),0.0749 (*),0.0631 (*),0.0748 (*)
E_Env_17,0.0694 (*),0.0585 (*),0.0693 (*),0.0000 (***),0.0000 (***),0.0000 (***),0.0002 (***),0.0002 (***),0.0002 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0408 (**),0.0334 (**),0.0407 (**),0.1597,0.1366,0.1596,0.5749,0.5215,0.5749
E_Env_18,0.0000 (***),0.0000 (***),0.0000 (***),0.0618 (*),0.0513 (*),0.0616 (*),0.0022 (***),0.0017 (***),0.0022 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.7298,0.6451,0.7300,0.2643,0.2293,0.2643,0.0000 (***),0.0000 (***),0.0000 (***),0.0002 (***),0.0001 (***),0.0001 (***)
E_Env_19,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),1.0000,0.8161,1.0000,0.4008,0.3445,0.4008,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***)
E_Env_20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
E_Health_31,1.0000,0.7941,1.0000,0.0754 (*),0.0329 (**),0.0688 (*),0.0227 (**),0.0078 (***),0.0152 (**),0.0227 (**),0.0078 (***),0.0152 (**),0.0441 (**),0.0189 (**),0.0379 (**),0.0128 (**),0.0044 (***),0.0075 (***),0.0128 (**),0.0044 (***),0.0075 (***),1.0000,0.3170,1.0000,1.0000,0.3170,1.0000,1.0000,1.0000,1.0000
E_Health_32,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.1717,0.1491,0.1717,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***)
E_Health_33,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
E_Health_34,0.0741 (*),0.0624 (*),0.0740 (*),0.6369,0.5818,0.6369,1.0000,0.9368,1.0000,0.0000 (***),0.0000 (***),0.0000 (***),0.2162,0.1889,0.2162,0.0622 (*),0.0521 (*),0.0621 (*),0.0000 (***),0.0000 (***),0.0000 (***),0.5815,0.5287,0.5815,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***)
E_Health_35,0.0000 (***),0.0000 (***),0.0000 (***),1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
E_Health_36,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),1.0000,1.0000,1.0000,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***)
E_Health_37,0.0000 (***),0.0000 (***),0.0000 (***),0.8711,0.8077,0.8711,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.2837,0.2278,0.2836,0.0009 (***),0.0005 (***),0.0007 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0301 (**),0.0195 (**),0.0289 (**)
E_Health_38,0.0252 (**),0.0197 (**),0.0250 (**),0.0392 (**),0.0311 (**),0.0389 (**),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.9295,0.8595,0.9295,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0767 (*),0.0430 (**),0.0735 (*)
E_Health_39,0.6997,0.6434,0.6997,0.0000 (***),0.0000 (***),0.0000 (***),0.0982 (*),0.0832 (*),0.0981 (*),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0344 (**),0.0283 (**),0.0343 (**),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0494 (**),0.0410 (**),0.0493 (**),0.0000 (***),0.0000 (***),0.0000 (***)
E_Health_40,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.1286,0.0575 (*),0.1231,0.1628,0.1035,0.1613,0.0000 (***),0.0000 (***),0.0000 (***),0.0030 (***),0.0012 (***),0.0017 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***)
E_Lie_01,0.4789,0.1567,0.4993,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0063 (***),0.0044 (***),0.0060 (***),0.0017 (***),0.0011 (***),0.0015 (***),0.7751,0.6682,0.7753
E_Lie_02,0.0000 (***),0.0000 (***),0.0000 (***),0.0611 (*),0.0507 (*),0.0610 (*),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0100 (***),0.0077 (***),0.0098 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***)
E_Lie_03,0.0000 (***),0.0000 (***),0.0000 (***),0.7395,0.6575,0.7396,0.0485 (**),0.0378 (**),0.0481 (**),0.2004,0.1654,0.2003,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.1247,0.1015,0.1244,0.4008,0.3445,0.4008,0.5513,0.4869,0.5514
E_Lie_04,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),1.0000,0.3170,1.0000,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***)
E_Lie_05,1.0000,1.0000,1.0000,0.0000 (***),0.0000 (***),0.0000 (***),0.2472,0.0826 (*),0.2489,0.2472,0.0826 (*),0.2489,0.0000 (***),0.0000 (***),0.0000 (***),0.2472,0.0826 (*),0.2489,0.2472,0.0826 (*),0.2489,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),1.0000,1.0000,1.0000
E_Lie_06,0.0000 (***),0.0000 (***),0.0000 (***),0.0953 (*),0.0764 (*),0.0950 (*),0.7323,0.6484,0.7325,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0003 (***),0.0002 (***),0.0003 (***),0.0343 (**),0.0262 (**),0.0339 (**),0.0108 (**),0.0083 (***),0.0107 (**),0.0000 (***),0.0000 (***),0.0000 (***)
E_Lie_07,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0016 (***),0.0012 (***),0.0016 (***),0.0176 (**),0.0141 (**),0.0175 (**),0.2604,0.2279,0.2604,0.4866,0.4338,0.4867,0.0514 (*),0.0420 (**),0.0512 (*),0.2422,0.2102,0.2421
E_Lie_08,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0002 (***),0.0001 (***),0.0001 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0753 (*),0.0596 (*),0.0749 (*),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0006 (***),0.0004 (***),0.0005 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***)
E_Lie_09,0.0279 (**),0.0215 (**),0.0276 (**),0.5676,0.5049,0.5677,0.0000 (***),0.0000 (***),0.0000 (***),0.7768,0.7055,0.7769,0.1247,0.1015,0.1244,0.0000 (***),0.0000 (***),0.0000 (***),0.0682 (*),0.0543 (*),0.0679 (*),0.0000 (***),0.0000 (***),0.0000 (***),0.8472,0.7726,0.8473,0.0000 (***),0.0000 (***),0.0000 (***)
E_Lie_10,0.2334,0.1967,0.2333,0.0340 (**),0.0267 (**),0.0338 (**),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.4024,0.3522,0.4025,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***)
E_Other_60,0.0032 (***),0.0014 (***),0.0021 (***),1.0000,0.5629,1.0000,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0010 (***),0.0004 (***),0.0005 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.8268,0.7428,0.8269
E_Other_61,0.5183,0.4674,0.5184,0.0000 (***),0.0000 (***),0.0000 (***),0.0012 (***),0.0009 (***),0.0012 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0001 (***),0.0001 (***),0.0001 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0032 (***),0.0025 (***),0.0032 (***),1.0000,0.9391,1.0000,0.0041 (***),0.0032 (***),0.0040 (***)
E_Other_62,0.0000 (***),0.0000 (***),0.0000 (***),0.0001 (***),0.0001 (***),0.0001 (***),0.6161,0.3159,0.6239,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0567 (*),0.0443 (**),0.0564 (*),0.0000 (***),0.0000 (***),0.0000 (***),0.0140 (**),0.0097 (***),0.0135 (**),0.0000 (***),0.0000 (***),0.0000 (***)
E_Other_63,0.0526 (*),0.0402 (**),0.0521 (*),0.0018 (***),0.0013 (***),0.0018 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.8310,0.7489,0.8311,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.1052,0.0826 (*),0.1048,0.0000 (***),0.0000 (***),0.0000 (***),0.0006 (***),0.0004 (***),0.0006 (***),0.0000 (***),0.0000 (***),0.0000 (***)
E_Other_64,0.0726 (*),0.0248 (**),0.0616 (*),1.0000,0.3170,1.0000,0.0000 (***),0.0000 (***),0.0000 (***),0.0404 (**),0.0139 (**),0.0306 (**),0.2187,0.1010,0.2167,0.0000 (***),0.0000 (***),0.0000 (***),1.0000,0.7612,1.0000,0.0000 (***),0.0000 (***),0.0000 (***),0.1286,0.0575 (*),0.1231,0.0000 (***),0.0000 (***),0.0000 (***)
E_Other_65,0.0169 (**),0.0130 (**),0.0167 (**),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0593 (*),0.0487 (**),0.0592 (*),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),1.0000,1.0000,1.0000,0.0000 (***),0.0000 (***),0.0000 (***)
E_RaceGen_21,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
E_RaceGen_22,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.7221,0.4770,0.7250,0.2472,0.0826 (*),0.2489,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0726 (*),0.0248 (**),0.0616 (*)
E_RaceGen_23,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.1618,0.1098,0.1606,0.0078 (***),0.0040 (***),0.0064 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.2628,0.1616,0.2623
E_RaceGen_24,0.0005 (***),0.0003 (***),0.0004 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.8909,0.7839,0.8911,0.0000 (***),0.0000 (***),0.0000 (***),0.0754 (*),0.0329 (**),0.0688 (*),0.0002 (***),0.0001 (***),0.0001 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***)
